Column1.1,Column3
3/3/2020,101.37
3/4/2020,102.38
3/5/2020,102.89
3/6/2020,102.55
3/9/2020,102.67
3/10/2020,102.9
3/11/2020,102.7
3/12/2020,102.47
3/13/2020,102.42
3/16/2020,102.9
3/17/2020,103.39
3/18/2020,103.72
3/19/2020,104.22
3/20/2020,105.1
3/23/2020,106.01
3/24/2020,106.54
3/25/2020,106.42
3/26/2020,106.2
3/27/2020,105.11
3/30/2020,104.45
3/31/2020,104.69
4/1/2020,105.11
4/2/2020,105.19
4/3/2020,105.67
4/6/2020,105.9
4/7/2020,106.18
4/8/2020,106.47
4/9/2020,106
4/14/2020,105.91
4/15/2020,105.9
4/16/2020,105.91
4/17/2020,106.2
4/20/2020,106.79
4/21/2020,106.88
4/22/2020,106.99
4/23/2020,107.14
4/24/2020,107.24
4/27/2020,106.93
4/28/2020,107.24
4/29/2020,107.28
4/30/2020,107.29
5/4/2020,107.26
5/5/2020,106.61
5/6/2020,106.31
5/7/2020,106.08
5/8/2020,106.01
5/11/2020,106.03
5/12/2020,106.14
5/13/2020,106.53
5/14/2020,106.59
5/15/2020,106.81
5/18/2020,107.04
5/19/2020,106.69
5/20/2020,106.8
5/21/2020,106.89
5/22/2020,106.97
5/26/2020,107.01
5/27/2020,107.11
5/28/2020,107.03
5/29/2020,106.94
6/2/2020,106.8
6/3/2020,106.45
6/4/2020,106.12
6/5/2020,106.09
6/8/2020,106.14
6/9/2020,106.3
6/10/2020,106.43
6/11/2020,106.6
6/12/2020,106.5
6/15/2020,106.45
6/16/2020,106.49
6/17/2020,106.49
6/18/2020,106.32
6/19/2020,106.29
6/22/2020,106.33
6/23/2020,106.42
6/24/2020,106.37
6/25/2020,106.4
6/26/2020,106.51
6/29/2020,106.46
6/30/2020,106.52
7/1/2020,106.55
7/2/2020,106.54
7/3/2020,106.67
7/6/2020,106.61
7/7/2020,106.59
7/8/2020,106.75
7/9/2020,106.96
7/10/2020,106.9
7/13/2020,107.05
7/14/2020,107.15
7/15/2020,107.28
7/16/2020,107.35
7/17/2020,107.46
7/20/2020,107.43
7/21/2020,107.62
7/22/2020,107.88
7/23/2020,108.13
7/24/2020,108.02
7/27/2020,107.79
7/28/2020,107.72
7/29/2020,107.71
7/30/2020,107.71
8/3/2020,107.71
8/4/2020,107.82
8/5/2020,107.89
8/6/2020,107.95
8/7/2020,108
8/10/2020,108.03
8/11/2020,108.12
8/12/2020,108.33
8/13/2020,108.39
8/14/2020,108.29
8/17/2020,108.32
8/18/2020,108.31
8/19/2020,108.42
8/20/2020,108.56
8/21/2020,108.01
8/24/2020,108.01
8/25/2020,108.04
8/26/2020,108.12
8/27/2020,108.15
8/28/2020,108.22
8/31/2020,108.21
9/1/2020,108.21
9/2/2020,108.26
9/3/2020,108.3
9/4/2020,108.32
9/7/2020,108.33
9/8/2020,108.34
9/9/2020,108.37
9/10/2020,108.4
9/11/2020,108.45
9/14/2020,108.5
9/15/2020,108.56
9/16/2020,108.64
9/17/2020,108.38
9/18/2020,108.39
9/21/2020,108.4
9/22/2020,108.36
9/23/2020,108.42
9/24/2020,108.41
9/25/2020,108.47
9/28/2020,108.48
9/29/2020,108.49
9/30/2020,108.5
10/1/2020,108.45
10/2/2020,108.49
10/5/2020,108.49
10/6/2020,108.5
10/7/2020,108.53
10/8/2020,108.53
10/9/2020,108.52
10/12/2020,108.53
10/13/2020,108.55
10/14/2020,108.59
10/15/2020,108.61
10/16/2020,108.62
10/19/2020,108.68
10/21/2020,108.72
10/22/2020,108.75
10/23/2020,108.77
10/26/2020,108.79
10/27/2020,108.83
10/28/2020,108.84
10/29/2020,108.83
10/30/2020,108.82
11/2/2020,108.83
11/3/2020,108.84
11/4/2020,108.86
11/5/2020,108.87
11/6/2020,108.91
11/9/2020,108.92
11/10/2020,108.93
11/11/2020,108.97
11/12/2020,109.03
11/13/2020,109.11
11/16/2020,109.2
11/17/2020,109.23
11/18/2020,109.26
11/19/2020,109.32
11/20/2020,109.39
11/23/2020,109.45
11/24/2020,109.54
11/25/2020,109.72
11/26/2020,109.86
11/27/2020,109.98
11/30/2020,110.05
12/1/2020,110.07
12/2/2020,110.1
12/3/2020,110.67
12/4/2020,111.06
12/7/2020,111.13
12/8/2020,111.4
12/9/2020,111.41
12/10/2020,111.44
12/11/2020,111.48
12/14/2020,111.53
12/15/2020,111.56
12/16/2020,111.59
12/17/2020,111.59
12/18/2020,111.57
12/21/2020,111.45
12/22/2020,111.04
12/23/2020,109.44
12/24/2020,108.79
12/28/2020,108.77
12/29/2020,108.77
12/30/2020,109.04
12/31/2020,109.17
1/4/2021,109.22
1/5/2021,109.29
1/6/2021,109.38
1/7/2021,109.47
1/8/2021,109.55
1/11/2021,109.55
1/12/2021,109.55
1/13/2021,109.67
1/14/2021,109.97
1/15/2021,110.1
1/18/2021,110.07
1/19/2021,110.1
1/20/2021,110.18
1/21/2021,110.19
1/22/2021,109.81
1/25/2021,110.02
1/26/2021,110.09
1/27/2021,110.1
1/28/2021,110.15
1/29/2021,110.14
2/1/2021,110.15
2/2/2021,110.15
2/3/2021,110.01
2/4/2021,109.86
2/5/2021,109.82
2/8/2021,109.66
2/9/2021,109.64
2/10/2021,109.55
2/11/2021,109.45
2/12/2021,109.44
2/15/2021,109.45
2/16/2021,109.45
2/17/2021,109.46
2/18/2021,109.55
2/19/2021,109.55
2/22/2021,109.6
2/23/2021,109.6
2/24/2021,109.7
2/25/2021,109.77
2/26/2021,109.8
3/1/2021,109.8
3/2/2021,109.8
3/3/2021,109.8
3/4/2021,109.69
3/5/2021,109.65
3/8/2021,109.64
3/9/2021,109.65
3/10/2021,109.65
3/11/2021,109.65
3/12/2021,109.65
3/15/2021,109.65
3/16/2021,109.65
3/17/2021,109.69
3/18/2021,109.8
3/19/2021,109.86
3/22/2021,109.86
3/23/2021,109.86
3/24/2021,109.85
3/25/2021,109.81
3/26/2021,109.79
3/29/2021,109.75
3/30/2021,109.72
3/31/2021,109.51
4/1/2021,109.35
4/6/2021,108.92
4/7/2021,108.6
4/8/2021,108.24
4/9/2021,107.97
4/12/2021,107.29
4/13/2021,107.1
4/14/2021,106.9
4/15/2021,106.81
4/16/2021,107.06
4/19/2021,107.49
4/20/2021,107.95
4/21/2021,108.11
4/22/2021,108.42
4/23/2021,108.53
4/26/2021,108.54
4/27/2021,108.1
4/28/2021,107.85
4/29/2021,107.84
4/30/2021,107.84
5/3/2021,107.84
5/4/2021,107.71
5/5/2021,107.26
5/6/2021,106.98
5/7/2021,106.86
5/10/2021,106.74
5/11/2021,106.54
5/12/2021,106.8
5/13/2021,107.02
5/17/2021,107.17
5/18/2021,107.28
5/19/2021,107.52
5/20/2021,107.92
5/21/2021,108.23
5/24/2021,108.24
5/25/2021,108.02
5/26/2021,107.74
5/27/2021,107.57
5/28/2021,107.54
5/31/2021,107.59
6/2/2021,107.69
6/3/2021,107.73
6/4/2021,107.8
6/7/2021,107.84
6/8/2021,107.9
6/9/2021,107.95
6/10/2021,107.9
6/11/2021,107.9
6/14/2021,107.8
6/15/2021,107.79
6/16/2021,107.77
6/17/2021,107.8
6/18/2021,107.8
6/21/2021,107.8
6/22/2021,107.8
6/23/2021,107.8
6/24/2021,107.77
6/25/2021,107.75
6/28/2021,107.75
6/29/2021,107.78
6/30/2021,107.85
7/1/2021,107.92
7/2/2021,107.95
7/5/2021,107.94
7/6/2021,107.95
7/7/2021,107.95
7/8/2021,107.95
7/9/2021,107.95
7/12/2021,107.95
7/13/2021,107.95
7/14/2021,107.98
7/15/2021,108.03
7/16/2021,108.19
7/19/2021,108.2
7/21/2021,108.2
7/22/2021,108.2
7/23/2021,108.2
7/26/2021,108.29
7/27/2021,108.49
7/28/2021,108.52
7/29/2021,108.59
7/30/2021,108.61
8/2/2021,108.63
8/3/2021,108.63
8/4/2021,108.65
8/5/2021,108.67
8/6/2021,108.72
8/9/2021,108.77
8/10/2021,108.84
8/11/2021,109.02
8/12/2021,109.14
8/13/2021,109.2
8/16/2021,109.26
8/17/2021,109.36
8/18/2021,109.42
8/19/2021,109.49
8/20/2021,109.53
8/23/2021,109.55
8/24/2021,109.6
8/25/2021,109.63
8/26/2021,109.71
8/27/2021,109.78
